yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2001,ATL,NL,betemwi01,8,0,8,1,0,0,0,0,0,1,0,0,0,0,0,5,3
2001,CHN,NL,zambrca01,6,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2001,CLE,AL,sabatcc01,33,2,2,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2001,FLO,NL,beckejo02,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2001,HOU,NL,hernaca03,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2001,MIL,NL,neugeni01,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2001,SLN,NL,pujolal01,161,156,161,157,0,0,43,0,55,0,39,0,39,78,2,2,0
2001,TOR,AL,izturce01,46,40,46,46,0,0,0,41,0,6,0,0,0,0,0,0,3
2001,TOR,AL,lopezfe01,49,49,49,49,0,0,0,0,47,3,0,0,0,0,0,0,0
2002,ANA,AL,rodrifr03,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,
2002,ATL,NL,bongju01,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2002,ATL,NL,langery01,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2002,CHN,NL,priorma01,19,17,17,19,19,0,0,0,0,0,0,0,0,0,0,0,0
2002,CHN,NL,zambrca01,32,16,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2002,CIN,NL,kearnau01,107,99,107,103,0,0,0,0,0,0,13,6,95,103,0,8,0
2002,CIN,NL,penawi01,13,4,13,4,0,0,0,0,0,0,3,0,1,4,0,6,3
2002,CLE,AL,davisja02,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,
2002,CLE,AL,phillbr01,11,8,11,11,0,0,0,11,0,0,0,0,0,0,0,0,0
2002,CLE,AL,sabatcc01,33,2,2,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2002,DET,AL,germafr01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,
2002,DET,AL,infanom01,18,18,18,18,0,0,0,2,0,16,0,0,0,0,0,0,0
2002,FLO,NL,beckejo02,23,21,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2002,HOU,NL,hernaca03,25,21,25,23,23,0,0,0,0,0,0,0,0,0,0,0,2
2002,KCA,AL,asencmi01,31,1,1,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2002,LAN,NL,izturce01,135,109,135,129,0,0,0,1,0,128,0,0,0,0,0,7,7
2002,MIL,NL,neugeni01,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2002,NYA,AL,hensodr01,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2002,NYN,NL,stranpa02,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2002,PHI,NL,myersbr01,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2002,SDN,NL,burrose01,63,50,63,55,0,0,0,13,48,0,0,0,0,0,0,10,0
2002,SDN,NL,peavyja01,17,16,16,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2002,SDN,NL,perezol01,16,15,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2002,SEA,AL,snellch02,8,8,8,8,0,0,0,0,0,0,6,0,2,8,0,0,0
2002,SLN,NL,pujolal01,157,156,157,154,0,0,21,0,41,1,117,0,1,118,2,1,0
2002,TBA,AL,brazede01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
2002,TBA,AL,crawfca02,63,63,63,63,0,0,0,0,0,0,63,0,0,63,0,0,0
2002,TEX,AL,blaloha01,49,42,49,46,0,0,0,0,46,0,0,0,0,0,0,3,2
2002,TEX,AL,kozlobe01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
2002,TOR,AL,lopezfe01,85,76,85,81,0,0,0,0,2,79,0,0,0,0,0,5,2
2003,ANA,AL,rodrifr03,59,0,4,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2003,ARI,NL,gonzaed01,9,2,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2003,ARI,NL,terrelu01,5,0,5,3,0,0,0,0,0,0,0,2,1,3,0,3,0
2003,ARI,NL,villaos01,86,1,82,86,86,0,0,0,0,0,0,0,0,0,0,0,0
2003,ATL,NL,bongju01,44,0,42,44,44,0,0,0,0,0,0,0,0,0,0,1,0
2003,ATL,NL,langery01,16,1,16,14,0,0,0,0,0,0,3,4,9,14,0,0,6
2003,CHA,AL,cottsne01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
2003,CHN,NL,mitrese01,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2003,CHN,NL,priorma01,32,29,31,30,30,0,0,0,0,0,0,0,0,0,0,2,0
2003,CHN,NL,sanchfe01,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2003,CHN,NL,zambrca01,32,30,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2003,CIN,NL,belisma01,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2003,CIN,NL,halljo03,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2003,CIN,NL,kearnau01,82,77,82,80,0,0,0,0,0,0,0,40,51,80,0,4,0
2003,CIN,NL,lopezfe01,59,47,59,58,0,0,0,3,8,50,0,0,0,0,0,4,1
2003,CIN,NL,olmedra01,79,52,79,67,0,0,0,18,0,51,0,0,0,0,0,13,5
2003,CIN,NL,penawi01,80,39,80,48,0,0,0,0,1,0,8,26,14,47,0,27,11
2003,CIN,NL,wagnery01,17,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2003,CLE,AL,davisja02,28,1,2,27,27,0,0,0,0,0,0,0,0,0,0,0,1
2003,CLE,AL,peraljh01,77,72,77,76,0,0,0,0,6,72,0,0,0,0,0,1,1
2003,CLE,AL,phillbr01,112,104,112,109,0,0,0,109,0,0,0,0,0,0,0,4,1
2003,CLE,AL,sabatcc01,31,2,3,30,30,0,0,0,0,0,0,0,0,0,0,1,0
2003,COL,NL,tsaoch01,9,8,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2003,DET,AL,bondeje01,33,1,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2003,DET,AL,germafr01,45,0,4,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2003,DET,AL,infanom01,69,63,69,68,0,0,0,2,4,63,0,0,0,0,0,0,2
2003,DET,AL,ledezwi01,34,0,3,34,34,0,0,0,0,0,0,0,0,0,0,0,0
2003,DET,AL,roneyma01,45,1,4,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2003,DET,AL,rossco01,6,6,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0
2003,FLO,NL,beckejo02,24,23,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
2003,FLO,NL,cabremi01,87,85,87,86,0,0,0,0,34,0,55,0,0,55,0,1,1
2003,FLO,NL,willido03,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2003,KCA,AL,asencmi01,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,
2003,KCA,AL,gobblji01,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,
2003,LAN,NL,izturce01,158,154,158,158,0,0,0,0,0,158,0,0,0,0,0,2,0
2003,LAN,NL,jacksed01,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2003,MIL,NL,cruzen01,60,7,60,20,0,0,0,6,2,13,0,0,0,0,0,36,13
2003,MIL,NL,fordma01,25,3,23,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2003,MIL,NL,martilu01,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2003,MIL,NL,weeksri01,7,2,7,4,0,0,0,4,0,0,0,0,0,0,0,3,0
2003,MIN,AL,bowenro01,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,1,0
2003,MIN,AL,morneju01,40,22,40,7,0,0,7,0,0,0,0,0,0,0,20,16,1
2003,MON,NL,corcoro01,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2003,MON,NL,cordech01,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2003,NYA,AL,hensodr01,5,2,5,3,0,0,0,0,3,0,0,0,0,0,0,1,1
2003,NYN,NL,garcida03,19,16,19,18,0,0,0,17,0,0,1,0,0,1,0,0,1
2003,NYN,NL,reyesjo01,69,69,69,69,0,0,0,0,0,69,0,0,0,0,0,0,0
2003,NYN,NL,stranpa02,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2003,OAK,AL,crosbbo01,11,1,11,9,0,0,0,0,0,9,0,0,0,0,1,3,2
2003,OAK,AL,harderi01,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,
2003,OAK,AL,woodmi01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,
2003,PHI,NL,machaan01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,PHI,NL,madsory01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,PHI,NL,myersbr01,33,30,31,32,32,0,0,0,0,0,0,0,0,0,0,1,0
2003,PIT,NL,perezol01,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2003,SDN,NL,burrose01,146,132,146,137,0,0,0,0,137,0,0,0,0,0,0,10,0
2003,SDN,NL,peavyja01,32,30,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2003,SDN,NL,perezol01,19,18,18,19,19,0,0,0,0,0,0,0,0,0,0,0,0
2003,SDN,NL,victosh01,36,17,36,32,0,0,0,0,0,0,15,16,3,32,0,2,6
2003,SFN,NL,correke01,10,7,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2003,SFN,NL,foppeje01,23,19,21,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2003,SFN,NL,lindeto01,18,7,18,13,0,0,0,0,0,0,9,0,6,13,0,4,2
2003,SFN,NL,lowryno01,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2003,SFN,NL,willije02,21,18,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2003,SLN,NL,harenda01,15,14,15,14,14,0,0,0,0,0,0,0,0,0,0,0,1
2003,SLN,NL,pujolal01,157,150,157,150,0,0,62,0,0,0,113,0,0,113,1,7,0
2003,TBA,AL,baldero01,156,151,156,154,0,0,0,0,0,0,0,154,0,154,2,2,2
2003,TBA,AL,brazede01,10,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2003,TBA,AL,crawfca02,151,144,151,146,0,0,0,0,0,0,137,13,0,146,1,5,1
2003,TBA,AL,gaudich01,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,
2003,TBA,AL,gomesjo01,8,4,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2003,TBA,AL,mccluse01,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,
2003,TBA,AL,perezan01,48,38,48,40,0,0,0,31,6,6,0,0,0,0,0,3,6
2003,TBA,AL,waechdo01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,
2003,TEX,AL,blaloha01,143,132,143,142,0,0,0,4,141,0,0,0,0,0,0,7,1
2003,TEX,AL,dominju01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,
2003,TEX,AL,nivarra01,28,23,28,26,0,0,0,0,0,0,0,26,0,26,0,1,2
2003,TEX,AL,nixla01,53,47,53,52,0,0,0,0,0,0,5,21,37,52,0,3,1
