playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
beckejo02,2001,1,FLO,NL,4,7,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0
betemwi01,2001,1,ATL,NL,8,3,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0
hernaca03,2001,1,HOU,NL,3,5,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
izturce01,2001,1,TOR,AL,46,134,19,36,6,2,2,9,8,1,2,15,0,0,4,0,0
lopezfe01,2001,1,TOR,AL,49,177,21,46,5,4,5,23,4,3,12,39,1,0,1,2,2
neugeni01,2001,1,MIL,NL,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pujolal01,2001,1,SLN,NL,161,590,112,194,47,4,37,130,1,3,69,93,6,9,1,7,21
sabatcc01,2001,1,CLE,AL,33,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
zambrca01,2001,1,CHN,NL,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asencmi01,2002,1,KCA,AL,31,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
beckejo02,2002,1,FLO,NL,23,31,0,1,1,0,0,0,0,0,0,21,0,0,5,0,0
blaloha01,2002,1,TEX,AL,49,147,16,31,8,0,3,17,0,0,20,43,1,1,2,2,2
bongju01,2002,1,ATL,NL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brazede01,2002,1,TBA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burrose01,2002,1,SDN,NL,63,192,18,52,5,1,1,11,2,0,12,30,1,1,1,0,6
crawfca02,2002,1,TBA,AL,63,259,23,67,11,6,2,30,9,5,9,41,0,3,6,1,0
davisja02,2002,1,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
germafr01,2002,1,DET,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hensodr01,2002,1,NYA,AL,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hernaca03,2002,1,HOU,NL,25,35,3,6,0,0,0,1,0,0,2,11,0,0,4,0,0
infanom01,2002,1,DET,AL,18,72,4,24,3,0,1,6,0,1,3,10,0,0,0,0,0
izturce01,2002,1,LAN,NL,135,439,43,102,24,2,1,31,7,7,14,39,1,0,10,5,12
