yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2001,NLDS2,pujolal01,SLN,NL,5,18,1,2,0,0,1,2,0,0,2,2,0,0,0,0,1
2002,NLCS,pujolal01,SLN,NL,5,19,2,5,1,0,1,2,0,0,2,5,0,1,0,0,0
2002,NLDS2,pujolal01,SLN,NL,3,10,3,3,0,1,0,3,0,0,3,1,0,0,0,0,0
2002,WS,rodrifr03,ANA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NLCS,beckejo02,FLO,NL,3,8,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0
2003,NLCS,cabremi01,FLO,NL,7,30,9,10,0,0,3,6,0,0,2,6,0,1,0,0,1
2003,NLCS,priorma01,CHN,NL,2,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
2003,NLCS,willido03,FLO,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NLCS,zambrca01,CHN,NL,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2003,NLDS1,beckejo02,FLO,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2003,NLDS1,cabremi01,FLO,NL,4,14,1,4,2,0,0,3,0,0,1,6,0,0,1,0,0
2003,NLDS1,willido03,FLO,NL,2,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,NLDS1,willije02,SFN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,NLDS2,priorma01,CHN,NL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NLDS2,zambrca01,CHN,NL,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2003,WS,beckejo02,FLO,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2003,WS,cabremi01,FLO,NL,6,24,1,4,0,0,1,3,0,0,1,7,0,0,0,0,1
2003,WS,willido03,FLO,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ALDS1,kotchca01,ANA,AL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ALDS1,mcpheda01,ANA,AL,3,9,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0
2004,ALDS2,kubelja01,MIN,AL,2,7,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
2004,ALDS2,morneju01,MIN,AL,4,17,1,4,2,0,0,2,0,0,0,3,0,0,0,0,0
2004,NLCS,harenda01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NLCS,lunahe01,SLN,NL,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,NLCS,molinya01,SLN,NL,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NLCS,pujolal01,SLN,NL,7,28,10,14,2,0,4,9,0,0,4,3,0,0,0,0,0
2004,NLDS1,brazoyh01,LAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NLDS1,harenda01,SLN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NLDS1,izturce01,LAN,NL,4,17,1,3,1,0,0,0,0,0,1,2,0,0,0,0,0
2004,NLDS1,pujolal01,SLN,NL,4,15,4,5,0,0,2,5,0,0,3,0,0,0,0,0,1
2004,NLDS2,betemwi01,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,WS,harenda01,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,WS,lunahe01,SLN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,WS,molinya01,SLN,NL,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,WS,pujolal01,SLN,NL,4,15,1,5,2,0,0,0,0,0,1,3,1,1,0,0,0
2005,ALCS,izturma01,LAA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ALCS,kotchca01,LAA,AL,2,7,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0
2005,ALDS1,machaal01,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ALDS2,canoro01,NYA,AL,5,19,3,5,3,0,0,5,0,1,2,4,0,0,0,0,0
2005,ALDS2,kotchca01,LAA,AL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLCS,burkech01,HOU,NL,6,20,5,6,0,1,1,3,0,0,1,3,0,0,1,0,0
2005,NLCS,lunahe01,SLN,NL,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2005,NLCS,molinya01,SLN,NL,6,22,1,7,3,0,0,0,0,0,0,2,0,0,0,0,1
2005,NLCS,pujolal01,SLN,NL,6,23,3,7,0,0,2,6,0,0,1,3,0,0,0,1,0
2005,NLCS,taverwi01,HOU,NL,6,14,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
2005,NLCS,thompbr01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLDS1,burrose01,SDN,NL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLDS1,johnsbe02,SDN,NL,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2005,NLDS1,molinya01,SLN,NL,3,13,1,3,0,0,0,3,0,0,0,1,0,0,0,0,0
2005,NLDS1,peavyja01,SDN,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2005,NLDS1,pujolal01,SLN,NL,3,9,4,5,2,0,0,2,0,0,4,0,3,0,0,0,1
2005,NLDS1,thompbr01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLDS2,betemwi01,ATL,NL,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,NLDS2,burkech01,HOU,NL,3,3,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0
