playerID,schoolID,yearID
aardsda01,pennst,2001
aardsda01,rice,2002
aardsda01,rice,2003
abercre01,flgateway,2000
accarje01,illinoisst,2001
accarje01,illinoisst,2002
accarje01,illinoisst,2003
ackledu01,unc,2007
ackledu01,unc,2008
ackledu01,unc,2009
adamsda02,virginia,2006
adamsda02,virginia,2007
adamsda02,virginia,2008
adamsma01,sliprock,2007
adamsma01,sliprock,2008
adamsma01,sliprock,2009
adamsru01,unc,2000
adamsru01,unc,2001
adamsru01,unc,2002
albaljo01,miamidade,2001
alberan01,kentucky,2005
alberan01,kentucky,2006
alberan01,kentucky,2007
alberan01,kentucky,2008
alberma01,txsjjcn,2002
allenco01,highpoint,2011
alonsyo01,miamifl,2006
alonsyo01,miamifl,2007
alonsyo01,miamifl,2008
alvarab01,longbeach,2001
alvarab01,longbeach,2002
alvarab01,longbeach,2003
alvarpe01,vandy,2006
alvarpe01,vandy,2007
alvarpe01,vandy,2008
alvarrj01,flatlantic,2010
alvarrj01,flatlantic,2011
alvarrj01,flatlantic,2012
ambrihe01,ucla,2003
ambrihe01,ucla,2004
ambrihe01,ucla,2005
ambrihe01,ucla,2006
amesst01,gonzaga,2009
anderbr03,arizona,2001
anderbr03,arizona,2002
anderbr03,arizona,2003
anderdr01,nebraska,2001
anderdr01,nebraska,2002
anderdr01,nebraska,2003
anderjo03,ekentucky,2001
anderjo03,ekentucky,2002
anderjo03,ekentucky,2003
anglema01,ohiost,2005
anglema01,ohiost,2006
anglema01,ohiost,2007
antonma01,wake,2004
antonma01,wake,2005
antonma01,wake,2006
arencjp01,tennessee,2005
arencjp01,tennessee,2006
arencjp01,tennessee,2007
arrieja01,txchrist,2006
arrieja01,txchrist,2007
ascheco01,nebraska,2009
ascheco01,nebraska,2010
ascheco01,nebraska,2011
aubremi01,tulane,2001
aubremi01,tulane,2002
aubremi01,tulane,2003
augenbr01,florida,2005
augenbr01,florida,2006
augenbr01,florida,2007
avilaal01,alabama,2006
avilaal01,alabama,2007
avilaal01,alabama,2008
avilemi01,concordny,2000
avilemi01,concordny,2001
avilemi01,concordny,2002
avilemi01,concordny,2003
axelrdy01,ucirvine,2006
axelrdy01,ucirvine,2007
axforjo01,notredame,2003
axforjo01,notredame,2005
axforjo01,canisius,2006
badenbu01,bowlgreen,2002
badenbu01,bowlgreen,2003
badenbu01,bowlgreen,2004
badenbu01,bowlgreen,2005
bailean01,wagner,2003
bailean01,wagner,2004
bailean01,wagner,2005
bailean01,wagner,2006
baislje01,sflorida,2002
baislje01,sflorida,2003
baislje01,sflorida,2004
baislje01,sflorida,2005
bakerje03,clemson,2000
bakerje03,clemson,2001
bakerje03,clemson,2002
bakerjo01,california,2000
bakerjo01,california,2001
bakerjo01,california,2002
bakersc02,okstate,2001
bakersc02,okstate,2002
bakersc02,okstate,2003
banksjo01,flinternat,2001
banksjo01,flinternat,2002
banksjo01,flinternat,2003
bannibr01,usc,2000
bannibr01,usc,2001
bannibr01,usc,2003
bantzbr01,dallasbapt,2006
bantzbr01,dallasbapt,2007
bantzbr01,dallasbapt,2008
bantzbr01,dallasbapt,2009
bardda01,unc,2004
bardda01,unc,2005
bardda01,unc,2006
bardebr01,oregonst,2000
bardebr01,oregonst,2001
bardebr01,oregonst,2002
barkese01,cabakjc,1999
barkese01,cabakjc,2000
barkese01,lsu,2001
barkese01,lsu,2002
barneda01,oregonst,2005
barneda01,oregonst,2006
barneda01,oregonst,2007
barnesc01,stjohns,2006
barnesc01,stjohns,2007
barnesc01,stjohns,2008
baronda01,campjco,2002
baronda01,campjco,2003
baronda01,sonomast,2004
bartobr01,loyolamary,2001
bartobr01,miamifl,2003
bartobr01,miamifl,2004
bassan01,waynest,2006
bassan01,waynest,2007
bassan01,waynest,2008
batesaa01,sanjosest,2003
batesaa01,ncstate,2005
batesaa01,ncstate,2006
bauertr01,ucla,2009
bauertr01,ucla,2010
bauertr01,ucla,2011
bautijo02,flchipo,2000
bautijo02,flchipo,2001
baxtemi01,columbia,2003
baxtemi01,vandy,2004
baxtemi01,vandy,2005
baylijo01,trinityct,2000
baylijo01,trinityct,2001
baylijo01,trinityct,2002
beamtj01,azscott,2000
beamtj01,azscott,2001
beamtj01,olemiss,2002
beamtj01,olemiss,2003
beckch01,ulala,2006
beckhgo01,georgia,2006
beckhgo01,georgia,2007
beckhgo01,georgia,2008
belfimi01,bostoncoll,2007
belfimi01,bostoncoll,2008
belfimi01,bostoncoll,2009
belivje01,charleston,2006
belivje01,charleston,2007
belivje01,flatlantic,2008
beltbr01,texas,2008
beltbr01,texas,2009
bentzch01,longbeach,2000
bentzch01,longbeach,2001
bergmja01,rutgers,2000
bergmja01,rutgers,2001
bergmja01,rutgers,2002
berkeja01,clemson,2003
berkeja01,clemson,2004
berkeja01,clemson,2006
bernido01,cacuest,1999
bernido01,cacuest,2000
bernido01,oralrob,2001
bernido01,oralrob,2002
berryqu01,sandiegost,2005
berryqu01,sandiegost,2006
bettich01,txtech,2008
bettich01,txtech,2009
bettich01,txtech,2010
billibr02,sandiegost,2004
billibr02,sandiegost,2005
billibr02,sandiegost,2006
billibr02,sandiegost,2007
birkiku01,ucla,1999
birkiku01,capierc,2000
bisenjo01,iawescc,2002
bisenjo01,iawescc,2003
bisenjo01,okcity,2004
bixlebr01,emichigan,2002
bixlebr01,emichigan,2003
bixlebr01,emichigan,2004
blackch02,gatech,2007
blackch02,gatech,2008
blackni01,oksemin,2001
blackni01,oksemin,2002
blackvi01,dallasbapt,2007
blackvi01,dallasbapt,2008
blackvi01,dallasbapt,2009
blantjo01,kentucky,2000
blantjo01,kentucky,2001
blantjo01,kentucky,2002
blevije01,dayton,2002
blevije01,dayton,2003
blevije01,dayton,2004
bococbr01,stetson,2004
bococbr01,stetson,2005
bococbr01,stetson,2006
boescbr01,california,2004
boescbr01,california,2005
boescbr01,california,2006
boggsbr01,gatech,2002
boggsbr01,gatech,2003
boggsbr01,gatech,2004
boggsmi01,georgia,2003
boggsmi01,georgia,2004
boggsmi01,georgia,2005
bogusbr01,tulane,2003
bogusbr01,tulane,2004
bogusbr01,tulane,2005
bohntj01,kshutch,1999
bohntj01,kshutch,2000
bohntj01,nebellevue,2001
bohntj01,nebellevue,2002
bonined01,caglend,2001
bonined01,washst,2002
bonined01,nevada,2003
borboju01,tennessee,2005
borboju01,tennessee,2006
borboju01,tennessee,2007
bottsja01,caglend,1999
bottsja01,caglend,2000
bournmi01,houston,2001
bournmi01,houston,2002
bournmi01,houston,2003
bowkejo01,longbeach,2002
bowkejo01,longbeach,2003
bowkejo01,longbeach,2004
boxbebr01,usc,2007
boxbebr01,usc,2008
boxbebr01,usc,2009
brachbr01,monmouth,2005
brachbr01,monmouth,2006
brachbr01,monmouth,2007
brachbr01,monmouth,2008
brackan01,ncstate,2005
brackan01,ncstate,2006
brackan01,ncstate,2007
bradeda01,caameri,2002
bradeda01,caameri,2003
bradeda01,txtech,2004
bradlja02,scarolina,2009
bradlja02,scarolina,2010
bradlja02,scarolina,2011
brantro01,ucriver,2009
brantro01,ucriver,2010
braunry01,wake,2000
braunry01,wake,2001
braunry01,wake,2002
braunry01,unlv,2003
braunry02,miamifl,2003
braunry02,miamifl,2004
braunry02,miamifl,2005
braybi01,willmary,2002
braybi01,willmary,2003
braybi01,willmary,2004
brazede01,mtennst,1999
brazede01,mtennst,2000
brazede01,mtennst,2001
breslcr01,yale,1999
breslcr01,yale,2000
breslcr01,yale,2001
breslcr01,yale,2002
brewech01,ucla,2007
brewech01,ucla,2008
brewech01,ucla,2009
broadla01,dallasbapt,2003
broadla01,dallasbapt,2004
broadla01,txchrist,2005
brothre01,lipscomb,2007
brothre01,lipscomb,2008
brothre01,lipscomb,2009
brownan02,nebraska,2006
brownan02,nebraska,2007
brownba01,floridast,2005
brownba01,floridast,2006
brownco01,okstate,2005
brownco01,okstate,2006
brownco01,okstate,2007
brownjo05,arizona,2003
brownjo05,arizona,2004
brownjo05,arizona,2005
brummty01,ucla,2006
brummty01,ucla,2007
buchhcl01,mcneese,2004
buchhcl01,txangjc,2005
bucknbi02,scarolina,2004
bucktr01,arizonast,2003
bucktr01,arizonast,2004
bucktr01,arizonast,2005
buentja01,purdue,2003
buentja01,purdue,2004
buentja01,purdue,2005
buentja01,purdue,2006
bullibr01,ballst,2000
bullibr01,ballst,2001
bullibr01,ballst,2002
burgohi01,bethcook,2006
burgohi01,bethcook,2007
burgohi01,bethcook,2008
burgohi01,bethcook,2009
burkech01,tennessee,1999
burkech01,tennessee,2000
burkech01,tennessee,2001
burnsco01,arizona,2006
burnsco01,arizona,2007
burnsco01,arizona,2008
burnsco01,arizona,2009
burrebr01,ormount,2000
burrebr01,ormount,2001
burriem01,kentst,2004
burriem01,kentst,2005
burriem01,kentst,2006
burtoja01,wcarolina,2000
burtoja01,wcarolina,2001
burtoja01,wcarolina,2002
buschbr01,flcentr,2000
buschbr01,flcentr,2001
buschbr01,scarolina,2002
buschbr01,scarolina,2003
bussni01,usc,2007
bussni01,usc,2008
buterdr01,cflorida,2003
buterdr01,cflorida,2004
buterdr01,cflorida,2005
butlejo03,sandiego,2004
butlejo03,sandiego,2005
butlejo03,sandiego,2006
butlejo04,norleans,2007
butlejo04,norleans,2008
bynumfr01,ncpitcc,1999
bynumfr01,ncpitcc,2000
calhoko01,arizonast,2009
calhoko01,arizonast,2010
campato01,uncashe,2005
campato01,uncashe,2006
campato01,cincy,2007
campato01,cincy,2008
campbbr02,kennesawst,2004
cappsca01,mtolive,2010
cappsca01,mtolive,2011
carigan01,unc,2005
carigan01,unc,2006
carigan01,unc,2007
carlilu01,neastern,2000
carlilu01,neastern,2001
carlilu01,neastern,2002
carlsje01,uconn,2000
carlsje01,uconn,2001
carlsje01,uconn,2002
carpean01,chicost,2004
carpean01,casacra,2005
carpean01,longbeach,2006
carpech02,kentst,2005
carpech02,kentst,2007
carpech02,kentst,2008
carpeda01,wvirginia,2004
carpeda01,wvirginia,2005
