playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
beckejo02,2001,1,FLO,NL,2,2,4,4,0,0,0,72,14,4,3,11,24,0.161,1.5,0,1,1,0,99,0,9,0,0,
hernaca03,2001,1,HOU,NL,1,0,3,3,0,0,0,53,11,2,1,7,17,0.177,1.02,0,2,0,0,70,0,2,1,0,
neugeni01,2001,1,MIL,NL,1,1,2,2,0,0,0,18,6,5,1,6,11,0.25,7.5,0,0,0,0,30,0,5,0,0,
sabatcc01,2001,1,CLE,AL,17,5,33,33,0,0,0,541,149,88,19,95,171,0.228,4.39,1,7,7,3,763,0,93,3,5,
zambrca01,2001,1,CHN,NL,1,2,6,1,0,0,0,23,11,13,2,8,4,0.355,15.26,0,1,1,0,42,1,13,1,1,
asencmi01,2002,1,KCA,AL,4,7,31,21,0,0,0,370,136,70,17,64,58,0.282,5.11,2,7,3,0,557,7,73,2,6,
beckejo02,2002,1,FLO,NL,6,7,23,21,0,0,0,323,93,49,13,44,113,0.232,4.1,2,5,1,0,454,0,56,5,3,
bongju01,2002,1,ATL,NL,0,1,1,1,0,0,0,18,8,5,0,2,4,0.32,7.5,0,0,0,0,27,0,5,0,0,
brazede01,2002,1,TBA,AL,0,1,2,2,0,0,0,39,12,7,3,6,5,0.279,4.85,0,0,2,0,51,0,7,0,0,
davisja02,2002,1,CLE,AL,1,0,3,2,0,0,0,44,12,3,1,4,11,0.218,1.84,0,0,0,1,60,0,3,1,0,
germafr01,2002,1,DET,AL,1,0,7,0,0,0,1,20,3,0,0,2,6,0.15,0,1,0,1,0,25,1,0,2,0,
hernaca03,2002,1,HOU,NL,7,5,23,21,0,0,0,333,112,54,11,61,93,0.261,4.38,5,1,3,2,495,0,56,2,0,
kozlobe01,2002,1,TEX,AL,0,0,2,2,0,0,0,30,11,7,3,11,6,0.289,6.3,0,0,1,0,50,0,7,0,0,
myersbr01,2002,1,PHI,NL,4,5,12,12,1,0,0,216,73,34,11,29,34,0.277,4.25,1,2,6,1,307,0,38,6,2,
neugeni01,2002,1,MIL,NL,1,7,12,12,0,0,0,166,56,29,10,44,47,0.264,4.72,3,5,0,2,260,0,33,3,1,
peavyja01,2002,1,SDN,NL,6,7,17,17,0,0,0,293,106,49,11,33,90,0.274,4.52,4,4,3,1,430,0,54,5,2,
perezol01,2002,1,SDN,NL,4,5,16,15,0,0,0,270,71,35,13,48,94,0.218,3.5,1,3,5,0,387,0,37,5,3,
priorma01,2002,1,CHN,NL,6,6,19,19,1,0,0,350,98,43,14,38,147,0.226,3.32,0,1,7,0,486,0,45,3,4,
rodrifr03,2002,1,ANA,AL,0,0,5,0,0,0,0,17,3,0,0,2,13,0.167,0,1,0,1,0,21,4,0,0,0,
sabatcc01,2002,1,CLE,AL,13,11,33,33,2,0,0,630,198,102,17,88,149,0.252,4.37,2,6,1,3,891,0,109,5,10,
stranpa02,2002,1,NYN,NL,0,0,5,0,0,0,0,24,6,1,0,1,4,0.207,1.13,1,0,0,1,30,4,1,0,0,
zambrca01,2002,1,CHN,NL,4,8,32,16,0,0,0,325,94,44,9,63,93,0.235,3.66,2,6,4,0,477,3,53,9,1,
asencmi01,2003,1,KCA,AL,2,1,8,8,1,0,0,145,54,28,4,21,27,0.295,5.21,0,1,3,0,215,0,29,3,5,
beckejo02,2003,1,FLO,NL,9,8,24,23,0,0,0,426,132,48,9,56,152,0.246,3.04,4,6,2,1,601,1,54,5,1,
belisma01,2003,1,CIN,NL,1,1,6,0,0,0,0,26,10,5,1,2,6,0.303,5.19,0,0,1,0,39,2,5,2,1,
bondeje01,2003,1,DET,AL,6,19,33,28,0,0,0,486,193,100,23,58,108,0.294,5.56,2,12,4,2,727,0,118,3,6,
bongju01,2003,1,ATL,NL,6,2,44,0,0,0,1,171,56,32,8,31,47,0.267,5.05,6,6,2,1,247,14,32,3,1,
brazede01,2003,1,TBA,AL,1,6,10,10,0,0,0,145,57,37,9,23,24,0.292,6.89,1,1,3,0,225,0,49,2,2,
corcoro01,2003,1,MON,NL,0,0,5,0,0,0,0,22,7,1,0,3,2,0.25,1.23,0,1,0,0,31,2,2,0,0,
cordech01,2003,1,MON,NL,1,0,12,0,0,0,1,33,4,2,1,3,12,0.111,1.64,1,1,0,0,40,4,2,1,0,
correke01,2003,1,SFN,NL,3,1,10,7,0,0,0,118,41,16,6,18,28,0.275,3.66,1,2,4,0,173,1,16,1,1,
cottsne01,2003,1,CHA,AL,1,1,4,4,0,0,0,40,15,12,1,17,10,0.294,8.1,0,0,0,0,69,0,12,1,0,
davisja02,2003,1,CLE,AL,8,11,27,27,1,0,0,496,172,86,25,47,85,0.273,4.68,4,9,8,2,696,0,101,7,3,
dominju01,2003,1,TEX,AL,0,2,6,3,0,0,0,49,16,13,5,12,13,0.271,7.16,0,1,0,0,73,1,14,1,1,
foppeje01,2003,1,SFN,NL,8,9,23,21,0,0,0,333,103,62,16,69,101,0.249,5.03,4,12,3,0,500,0,69,5,9,
fordma01,2003,1,MIL,NL,0,3,25,4,0,0,0,131,46,21,5,21,26,0.264,4.33,0,0,1,0,197,12,23,0,1,
gaudich01,2003,1,TBA,AL,2,0,15,3,0,0,0,120,37,16,4,16,23,0.24,3.6,0,1,1,0,173,5,18,0,2,
germafr01,2003,1,DET,AL,2,4,45,0,0,0,5,134,47,30,5,45,41,0.273,6.04,3,8,2,1,222,15,32,2,1,
gobblji01,2003,1,KCA,AL,4,5,9,9,0,0,0,158,56,27,8,15,31,0.271,4.61,0,1,4,0,230,0,32,1,3,
gonzaed01,2003,1,ARI,NL,2,1,9,2,0,0,0,55,28,10,3,7,14,0.368,4.91,2,2,0,0,85,1,10,1,1,
halljo03,2003,1,CIN,NL,0,2,6,5,0,0,0,74,33,18,4,15,18,0.314,6.57,1,0,0,0,121,1,22,0,1,
harderi01,2003,1,OAK,AL,5,4,15,13,0,0,0,224,72,37,5,40,67,0.259,4.46,1,6,1,0,324,0,38,2,3,
harenda01,2003,1,SLN,NL,3,7,14,14,0,0,0,218,84,41,9,22,43,0.293,5.08,0,3,5,0,320,0,44,4,2,
jacksed01,2003,1,LAN,NL,2,1,4,3,0,0,0,66,17,6,2,11,19,0.221,2.45,1,3,1,0,91,0,6,1,1,
ledezwi01,2003,1,DET,AL,3,7,34,8,0,0,0,252,99,54,12,35,49,0.297,5.79,3,2,3,0,376,13,55,1,4,
lowryno01,2003,1,SFN,NL,0,0,4,0,0,0,0,19,1,0,0,2,5,0.048,0,0,0,1,0,24,3,0,0,0,
madsory01,2003,1,PHI,NL,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,
martilu01,2003,1,MIL,NL,0,3,4,4,0,0,0,49,25,18,3,15,10,0.373,9.92,2,3,0,1,86,0,18,4,0,
mccluse01,2003,1,TBA,AL,4,1,12,5,0,0,0,116,33,23,6,25,25,0.241,5.35,1,2,3,0,167,2,23,1,1,
mitrese01,2003,1,CHN,NL,0,1,3,2,0,0,0,26,15,8,1,4,3,0.395,8.31,1,0,0,0,43,1,8,0,1,
myersbr01,2003,1,PHI,NL,14,9,32,32,1,1,0,579,205,95,20,76,143,0.272,4.43,8,9,9,0,848,0,99,6,3,
peavyja01,2003,1,SDN,NL,12,11,32,32,0,0,0,584,173,89,33,82,156,0.238,4.11,3,2,6,0,827,0,94,7,5,
perezol01,2003,1,SDN,NL,4,7,19,19,0,0,0,311,103,62,20,65,117,0.258,5.38,2,6,3,1,473,0,65,4,2,
perezol01,2003,2,PIT,NL,0,3,5,5,0,0,0,69,26,15,2,12,24,0.283,5.87,1,1,1,0,106,0,15,1,0,
priorma01,2003,1,CHN,NL,18,6,30,30,3,1,0,634,183,57,15,50,245,0.231,2.43,4,9,9,0,863,0,67,9,2,
rodrifr03,2003,1,ANA,AL,8,3,59,0,0,0,2,258,50,29,12,35,95,0.172,3.03,5,7,2,0,334,23,30,2,4,
roneyma01,2003,1,DET,AL,1,9,45,11,0,0,0,302,102,61,17,48,47,0.262,5.45,4,2,4,2,449,12,67,4,4,
sabatcc01,2003,1,CLE,AL,13,9,30,30,2,1,0,593,190,79,19,66,141,0.255,3.6,3,4,6,2,832,0,85,10,4,
sanchfe01,2003,1,CHN,NL,0,0,3,0,0,0,0,5,2,2,1,3,2,0.333,10.8,0,0,0,0,9,0,2,0,0,
stranpa02,2003,1,NYN,NL,0,0,6,0,0,0,0,27,13,11,4,11,5,0.351,11,0,0,0,0,48,1,11,0,0,
tsaoch01,2003,1,COL,NL,3,3,9,8,0,0,0,130,48,29,11,20,29,0.284,6.02,1,0,4,0,196,1,30,3,0,
villaos01,2003,1,ARI,NL,10,7,86,1,0,0,0,294,80,28,6,46,80,0.222,2.57,10,3,3,2,422,14,40,9,3,
waechdo01,2003,1,TBA,AL,3,2,6,5,1,1,0,106,29,13,4,15,29,0.225,3.31,0,0,1,0,145,0,13,0,0,
wagnery01,2003,1,CIN,NL,2,0,17,0,0,0,0,65,13,4,2,12,25,0.173,1.66,1,4,0,0,88,3,4,0,1,
willido03,2003,1,FLO,NL,14,6,27,27,2,2,0,482,148,59,13,58,142,0.245,3.3,0,7,3,1,668,0,61,3,1,
willije02,2003,1,SFN,NL,7,5,21,21,2,1,0,393,116,48,10,49,88,0.242,3.3,3,2,7,1,545,0,54,6,3,
woodmi01,2003,1,OAK,AL,2,1,7,1,0,0,0,41,24,16,1,7,15,0.387,10.54,2,2,2,0,72,2,17,1,0,
zambrca01,2003,1,CHN,NL,13,11,32,32,3,1,0,642,188,74,9,94,168,0.239,3.11,12,6,10,1,907,0,88,11,6,
aardsda01,2004,1,SFN,NL,1,0,11,0,0,0,0,32,20,8,1,10,5,0.417,6.75,0,0,2,0,61,5,8,0,1,
alvarab01,2004,1,BOS,AL,0,1,1,1,0,0,0,15,8,5,2,5,2,0.4,9,0,0,0,0,25,0,5,0,0,
baekch01,2004,1,SEA,AL,2,4,7,5,0,0,0,93,35,19,5,11,20,0.278,5.52,1,2,2,0,139,2,23,0,0,
bautide01,2004,1,BAL,AL,0,0,2,0,0,0,0,6,6,8,1,2,1,0.545,36,0,1,1,0,15,0,8,0,1,
bautide01,2004,2,KCA,AL,0,4,5,5,0,0,0,83,38,20,2,11,18,0.333,6.51,1,2,2,2,127,0,20,0,0,
beckejo02,2004,1,FLO,NL,9,9,26,26,1,1,0,470,137,66,16,54,152,0.235,3.79,3,5,6,0,654,0,72,9,3,
benneje01,2004,1,MIL,NL,1,5,60,0,0,0,0,214,78,38,12,26,45,0.278,4.79,2,6,2,0,316,20,43,2,5,
bentzch01,2004,1,MON,NL,0,3,36,0,0,0,0,83,23,18,5,23,18,0.228,5.86,3,1,2,0,126,5,19,0,0,
blacktr01,2004,1,SEA,AL,1,3,6,6,0,0,0,78,35,29,9,22,16,0.321,10.04,0,3,1,1,134,0,31,1,1,
blantjo01,2004,1,OAK,AL,0,0,3,0,0,0,0,24,6,5,1,2,6,0.214,5.63,0,0,0,0,30,1,5,0,0,
bondeje01,2004,1,DET,AL,11,13,33,32,2,2,0,552,168,100,24,73,168,0.242,4.89,5,7,10,0,793,0,101,10,5,
bongju01,2004,1,CIN,NL,1,1,3,3,0,0,0,46,17,8,3,10,11,0.27,4.7,0,1,0,0,75,0,13,2,0,
brazede01,2004,1,TBA,AL,6,8,22,21,0,0,0,362,121,64,12,53,64,0.26,4.77,2,2,11,1,535,0,71,0,6,
brazoyh01,2004,1,LAN,NL,6,2,31,0,0,0,0,98,25,9,2,15,27,0.219,2.48,2,1,0,0,133,10,9,4,0,
brunebr01,2004,1,ARI,NL,3,4,30,0,0,0,0,94,20,15,2,27,34,0.189,4.31,5,2,1,0,135,14,16,1,0,
burnese01,2004,1,PIT,NL,5,5,13,13,1,1,0,215,86,40,9,28,30,0.301,5.02,2,2,1,0,318,0,41,2,1,
cabreda01,2004,1,BAL,AL,12,8,28,27,1,1,1,443,145,82,14,89,76,0.259,5,2,12,2,0,662,1,85,4,7,
cabrefe01,2004,1,CLE,AL,0,0,4,0,0,0,0,16,3,2,0,1,6,0.167,3.38,0,0,0,0,20,2,3,0,1,
capeljo01,2004,1,ATL,NL,0,1,3,2,0,0,0,24,14,10,2,5,4,0.4,11.25,0,0,0,0,42,0,10,1,1,
chacigu01,2004,1,TOR,AL,1,1,2,2,0,0,0,42,8,4,0,3,6,0.167,2.57,0,0,1,0,52,0,4,0,0,
corcoro01,2004,1,MON,NL,0,0,5,0,0,0,0,16,7,4,0,5,4,0.304,6.75,0,0,0,0,28,3,4,0,0,
cordech01,2004,1,MON,NL,7,3,69,0,0,0,14,248,68,27,8,43,83,0.221,2.94,4,5,1,0,357,40,28,2,4,
cormila01,2004,1,ARI,NL,1,4,17,5,0,0,0,136,62,41,13,25,24,0.333,8.14,2,2,2,1,218,3,42,2,3,
correke01,2004,1,SFN,NL,0,1,12,1,0,0,0,57,25,17,3,10,14,0.333,8.05,0,0,1,0,92,5,20,3,3,
cottsne01,2004,1,CHA,AL,4,4,56,1,0,0,0,196,61,41,13,30,58,0.247,5.65,2,8,3,0,281,12,45,0,1,
crainje01,2004,1,MIN,AL,3,0,22,0,0,0,0,81,17,6,2,12,14,0.179,2,1,1,1,0,109,3,6,1,0,
crucefr01,2004,1,CLE,AL,0,1,2,2,0,0,0,23,10,8,1,4,9,0.303,9.39,0,1,1,0,39,0,9,0,1,
daiglca01,2004,1,ARI,NL,2,3,10,10,0,0,0,147,63,39,9,27,17,0.32,7.16,3,1,2,1,230,0,41,3,1,
davisja02,2004,1,CLE,AL,2,7,26,19,0,0,0,343,148,70,13,51,72,0.311,5.51,1,7,4,1,540,2,81,7,2,
delarjo01,2004,1,MIL,NL,0,3,5,5,0,0,0,68,29,16,1,14,5,0.309,6.35,0,3,1,0,113,0,20,1,3,
diazfe01,2004,1,CHA,AL,2,5,18,7,0,0,0,148,62,37,13,16,33,0.307,6.75,1,0,3,0,226,3,38,2,3,
dominju01,2004,1,TEX,AL,1,2,4,4,0,0,0,69,25,10,2,5,14,0.281,3.91,0,0,2,2,98,0,11,1,1,
durbijd01,2004,1,MIN,AL,0,1,4,1,0,0,0,22,12,6,0,6,6,0.387,7.36,0,1,0,0,38,2,6,0,1,
floydga01,2004,1,PHI,NL,2,0,6,4,0,0,0,85,25,11,1,16,24,0.24,3.49,0,1,5,1,126,0,11,1,0,
