playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
sabatcc01,2001,ALDS1,CLE,AL,1,0,1,1,0,0,0,18,6,2,0,5,5,0.26,3,1,0,0,0,28,0,2,0,0,0
rodrifr03,2002,ALCS,ANA,AL,2,0,4,0,0,0,0,13,2,0,0,2,7,0.14,0,0,1,0,0,17,0,0,0,1,0
rodrifr03,2002,ALDS1,ANA,AL,2,0,3,0,0,0,0,17,2,2,1,2,8,0.1,3.18,0,1,0,0,21,0,2,0,0,0
rodrifr03,2002,WS,ANA,AL,1,1,4,0,0,0,0,26,6,2,1,1,13,0.19,2.08,0,1,0,0,32,1,3,0,0,0
harderi01,2003,ALDS2,OAK,AL,1,1,2,0,0,0,0,4,2,2,1,2,1,0.33,13.5,1,1,0,0,8,2,2,0,0,0
priorma01,2003,NLCS,CHN,NL,1,1,2,2,0,0,0,43,14,5,2,5,11,0.24,3.14,0,1,0,0,63,0,8,0,0,0
zambrca01,2003,NLCS,CHN,NL,0,1,2,2,0,0,0,33,14,7,4,5,8,0.31,5.73,0,1,1,0,52,0,8,0,1,0
beckejo02,2003,NLCS,FLO,NL,1,0,3,2,1,1,0,58,11,7,3,2,19,0.16,3.26,0,0,0,0,71,0,7,1,0,1
willido03,2003,NLCS,FLO,NL,0,1,2,1,0,0,0,10,4,7,1,6,4,0.3,18.9,0,1,0,0,20,0,7,1,0,0
beckejo02,2003,NLDS1,FLO,NL,0,1,1,1,0,0,0,21,2,1,0,5,9,0.08,1.29,1,1,0,0,28,0,1,0,0,0
willido03,2003,NLDS1,FLO,NL,0,0,2,1,0,0,0,17,7,5,0,2,3,0.31,7.94,0,0,0,0,26,0,5,0,2,0
willije02,2003,NLDS1,SFN,NL,0,0,1,1,0,0,0,6,5,3,0,1,1,0.45,13.5,0,0,0,0,13,0,3,1,0,0
priorma01,2003,NLDS2,CHN,NL,1,0,1,1,1,0,0,27,2,1,0,4,7,0.07,1,0,1,1,0,34,0,1,0,1,1
zambrca01,2003,NLDS2,CHN,NL,0,0,1,1,0,0,0,17,11,3,0,0,4,0.4,4.76,0,0,0,0,28,0,3,1,0,0
beckejo02,2003,WS,FLO,NL,1,1,2,2,1,1,0,49,8,2,0,5,19,0.14,1.1,0,0,1,0,61,0,2,1,0,2
willido03,2003,WS,FLO,NL,0,0,3,0,0,0,0,11,4,0,0,2,3,0.26,0,0,0,0,0,17,0,0,0,0,0
rodrifr03,2004,ALDS1,ANA,AL,0,2,2,0,0,0,0,14,4,2,0,3,5,0.23,3.86,1,2,1,0,22,0,2,0,1,0
crainje01,2004,ALDS2,MIN,AL,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0
harenda01,2004,NLCS,SLN,NL,0,0,2,0,0,0,0,5,3,2,1,0,2,0.37,10.8,0,0,0,0,8,0,2,0,0,0
brazoyh01,2004,NLDS1,LAN,NL,0,0,2,0,0,0,0,9,1,1,0,2,2,0.1,3,0,0,1,0,13,1,1,0,0,0
harenda01,2004,NLDS1,SLN,NL,1,0,1,0,0,0,0,6,1,0,0,1,3,0.14,0,0,0,0,0,8,0,0,0,0,0
harenda01,2004,WS,SLN,NL,0,0,2,0,0,0,0,14,4,0,0,3,2,0.22,0,0,0,0,0,21,0,0,0,0,0
cottsne01,2005,ALCS,CHA,AL,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
rodrifr03,2005,ALCS,LAA,AL,0,0,2,0,0,0,1,7,2,0,0,3,3,0.25,0,0,0,0,0,12,2,2,0,1,0
santaer01,2005,ALCS,LAA,AL,0,1,1,1,0,0,0,13,3,5,2,3,2,0.18,10.38,0,0,1,0,20,0,6,0,0,0
papeljo01,2005,ALDS1,BOS,AL,0,0,2,0,0,0,0,12,2,0,0,0,2,0.14,0,0,0,0,0,14,1,0,0,0,0
cottsne01,2005,ALDS1,CHA,AL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jenksbo01,2005,ALDS1,CHA,AL,0,0,2,0,0,0,2,9,1,0,0,1,1,0.1,0,0,0,0,0,11,2,0,0,0,0
rodrifr03,2005,ALDS2,LAA,AL,0,0,3,0,0,0,2,10,5,1,1,0,2,0.35,2.7,0,0,0,0,14,3,1,0,0,1
santaer01,2005,ALDS2,LAA,AL,1,0,1,0,0,0,0,16,5,3,1,2,2,0.26,5.06,0,0,1,0,23,0,3,0,1,0
wangch01,2005,ALDS2,NYA,AL,0,1,1,1,0,0,0,20,6,1,1,0,1,0.23,1.35,0,0,1,0,29,0,4,2,0,0
thompbr01,2005,NLCS,SLN,NL,0,0,2,0,0,0,0,3,2,0,0,0,0,0.4,0,0,0,0,0,5,0,0,0,0,0
